race_id,race_date,race_no,baba_id,race_name,race_type,baba,weather,glass_condition,dirt_condition,distance,around,in_out,race_time,hold_no,hold_date,race_class,grade,require_age,require_gender,require_country,require_local,load_kind,first_prize,second_prize,third_prize,fourth_prize,fifth_prize,regist_num,run_num
202206050201,,01,06,2歳未勝利,平,ダ,晴,,良,1200,右,,09:50,5,2,未勝利,,2歳,,,,馬齢,520,210,130,78,52,16,16
202206050202,,02,06,2歳未勝利,平,ダ,晴,,良,1800,右,,10:15,5,2,未勝利,,2歳,,,,馬齢,520,210,130,78,52,16,16
202206050203,,03,06,2歳未勝利,平,芝,晴,良,,2000,右,,10:45,5,2,未勝利,,2歳,,混,,馬齢,520,210,130,78,52,16,16
202206050204,,04,06,2歳新馬,平,ダ,晴,,良,1800,右,,11:15,5,2,新馬,,2歳,,,,馬齢,700,280,180,110,70,15,15
202206050205,,05,06,2歳新馬,平,芝,晴,良,,2000,右,,12:05,5,2,新馬,,2歳,,混,,馬齢,700,280,180,110,70,14,14
202206050206,,06,06,2歳1勝クラス,平,ダ,晴,,良,1200,右,,12:35,5,2,1勝クラス,,2歳,,混,特指,馬齢,750,300,190,110,75,12,12
202206050207,,07,06,3歳以上1勝クラス,平,ダ,曇,,良,1200,右,,13:05,5,2,1勝クラス,,3歳以上,,混,,定量,770,310,190,120,77,16,16
202206050208,,08,06,3歳以上2勝クラス,平,ダ,曇,,良,1800,右,,13:35,5,2,2勝クラス,,3歳以上,,混,,定量,1110,440,280,170,111,16,16
202206050209,,09,06,南総S,平,芝,曇,良,,1200,右,外,14:05,5,2,3勝クラス,3勝,3歳以上,,混,,ハンデ,1840,740,460,280,184,16,16
202206050210,,10,06,市川S,平,ダ,曇,,良,1800,右,,14:40,5,2,3勝クラス,3勝,3歳以上,,混,,ハンデ,1840,740,460,280,184,16,16
202206050211,,11,06,ラピスラズリS,平,芝,曇,良,,1200,右,外,15:20,5,2,オープン,L,3歳以上,,国,特指,別定,2500,1000,630,380,250,16,16
202206050212,,12,06,3歳以上2勝クラス,平,芝,曇,良,,2500,右,,16:01,5,2,2勝クラス,,3歳以上,,混,特指,定量,1110,440,280,170,111,10,10
202209060201,,01,09,2歳未勝利,平,ダ,曇,,稍,1400,右,,10:05,6,2,未勝利,,2歳,牝,,,馬齢,520,210,130,78,52,13,13
202209060202,,02,09,2歳未勝利,平,芝,曇,良,,2000,右,,10:35,6,2,未勝利,,2歳,,混,,馬齢,520,210,130,78,52,11,11
202209060203,,03,09,2歳未勝利,平,ダ,曇,,稍,1800,右,,11:05,6,2,未勝利,,2歳,,,,馬齢,520,210,130,78,52,11,11
202209060204,,04,09,3歳以上障害未勝利,障,芝ダ,曇,良,稍,2970,,,11:35,6,2,未勝利,,3歳以上,,混,,定量,790,320,200,120,79,8,8
202209060205,,05,09,2歳新馬,平,芝,曇,良,,1800,右,外,12:25,6,2,新馬,,2歳,,混,,馬齢,700,280,180,110,70,14,14
202209060206,,06,09,2歳新馬,平,ダ,曇,,稍,1400,右,,12:55,6,2,新馬,,2歳,,混,,馬齢,700,280,180,110,70,12,12
202209060207,,07,09,3歳以上1勝クラス,平,ダ,曇,,稍,1800,右,,13:25,6,2,1勝クラス,,3歳以上,,混,,定量,770,310,190,120,77,9,9
202209060208,,08,09,3歳以上2勝クラス,平,ダ,曇,,稍,1400,右,,13:55,6,2,2勝クラス,,3歳以上,牝,,,定量,1110,440,280,170,111,15,15
202209060209,,09,09,さざんか賞,平,芝,曇,良,,1200,右,,14:30,6,2,1勝クラス,1勝,2歳,,混,特指,馬齢,1030,410,260,150,103,8,8
202209060210,,10,09,逆瀬川S,平,芝,曇,良,,1800,右,外,15:05,6,2,3勝クラス,3勝,3歳以上,,混,,ハンデ,1840,740,460,280,184,12,12
202209060211,,11,09,ギャラクシーS,平,ダ,曇,,稍,1400,右,,15:45,6,2,オープン,OP,3歳以上,,国,特指,ハンデ,2200,880,550,330,220,14,14
202209060212,,12,09,3歳以上2勝クラス,平,芝,曇,良,,1400,右,,16:20,6,2,2勝クラス,,3歳以上,,混,,定量,1110,440,280,170,111,12,12
202207060201,,01,07,2歳未勝利,平,ダ,晴,,良,1800,左,,09:55,6,2,未勝利,,2歳,牝,,,馬齢,520,210,130,78,52,14,14
202207060202,,02,07,3歳以上1勝クラス,平,ダ,晴,,良,1900,左,,10:25,6,2,1勝クラス,,3歳以上,,混,,定量,770,310,190,120,77,10,10
202207060203,,03,07,3歳以上1勝クラス,平,ダ,晴,,良,1400,左,,10:55,6,2,1勝クラス,,3歳以上,牝,,,定量,770,310,190,120,77,16,15
202207060204,,04,07,2歳未勝利,平,芝,晴,良,,1400,左,,11:30,6,2,未勝利,,2歳,,混,,馬齢,520,210,130,78,52,18,18
202207060205,,05,07,2歳新馬,平,芝,晴,良,,2000,左,,12:15,6,2,新馬,,2歳,,,,馬齢,700,280,180,110,70,9,9
202207060206,,06,07,3歳以上1勝クラス,平,ダ,晴,,良,1200,左,,12:45,6,2,1勝クラス,,3歳以上,,,,定量,770,310,190,120,77,16,16
202207060207,,07,07,3歳以上1勝クラス,平,ダ,晴,,良,1800,左,,13:15,6,2,1勝クラス,,3歳以上,,,,定量,770,310,190,120,77,12,11
202207060208,,08,07,3歳以上1勝クラス,平,芝,晴,良,,1400,左,,13:50,6,2,1勝クラス,,3歳以上,,,,定量,770,310,190,120,77,18,18
202207060209,,09,07,こうやまき賞,平,芝,晴,良,,1600,左,,14:15,6,2,1勝クラス,1勝,2歳,,混,特指,馬齢,1030,410,260,150,103,12,12
202207060210,,10,07,豊川特別,平,ダ,晴,,良,1200,左,,14:50,6,2,2勝クラス,2勝,3歳以上,,混,,定量,1510,600,380,230,151,16,16
202207060211,,11,07,チャンピオンズC,平,ダ,晴,,良,1800,左,,15:30,6,2,オープン,GI,3歳以上,,国,マル指,定量,12000,4800,3000,1800,1200,16,16
202207060212,,12,07,栄特別,平,芝,晴,良,,2200,左,,16:15,6,2,1勝クラス,1勝,3歳以上,,混,,定量,1070,430,270,160,107,11,11
202206050201,,01,06,2歳未勝利,平,ダ,晴,,良,1200,右,,09:50,5,2,未勝利,,2歳,,,,馬齢,520,210,130,78,52,16,16
